id,order_id,order_number,part_id,part_number,operation_id,operation_number,machine_id,start_time,end_time,total_qty,completed_qty,remaining_qty,status,schedule_version
18712,189,17218ILP004,1662,LGR-20-500,520,30,26,2026-08-11 11:43:43.168537,2026-08-11 16:43:43.168537,10,1,4,rescheduled,10
18713,189,17218ILP004,1662,LGR-20-500,520,30,26,2026-08-11 16:43:43.168537,2026-08-11 17:00:00,10,1,4,rescheduled,10
18714,189,17218ILP004,1662,LGR-20-500,520,30,26,2026-08-12 08:30:00,2026-08-12 12:13:43.168537,10,1,0,rescheduled,10
18715,189,17218ILP004,1667,SH-210,525,20,25,2026-07-31 15:54:00.517305,2026-07-31 17:00:00,1,0,1,rescheduled,10
18716,189,17218ILP004,1667,SH-210,525,20,25,2026-08-03 08:30:00,2026-08-03 08:54:00.517305,1,0,0,rescheduled,10
18717,113,ISP1234567,1652,ytrjy,529,20,33,2026-07-27 16:11:09.393767,2026-07-27 17:00:00,1,0,1,rescheduled,10
18718,113,ISP1234567,1652,ytrjy,529,20,33,2026-07-28 08:30:00,2026-07-28 10:44:09.393767,1,0,0,rescheduled,10
18719,113,ISP1234567,1652,ytrjy,530,30,14,2026-07-28 10:44:09.393767,2026-07-28 15:48:09.393767,1,0,0,rescheduled,10
18720,200,TEST,1685,001,536,20,32,2026-08-10 15:07:51.364312,2026-08-10 16:37:51.364312,10,5,2,rescheduled,10
18721,200,TEST,1685,001,536,20,32,2026-08-10 16:37:51.364312,2026-08-10 17:00:00,10,5,2,rescheduled,10
18722,200,TEST,1685,001,536,20,32,2026-08-11 08:30:00,2026-08-11 09:07:51.364312,10,5,0,rescheduled,10
18723,182,ILP2501108,1648,ADSN003,494,10,14,2026-08-04 11:53:53.162543,2026-08-04 14:23:53.162543,1,0,0,rescheduled,10
18724,182,ILP2501108,1648,ADSN003,495,20,35,2026-08-14 10:23:44.426121,2026-08-14 12:43:44.426121,1,0,0,rescheduled,10
18725,182,ILP2501108,1648,ADSN003,496,30,32,2026-08-14 12:43:44.426121,2026-08-14 15:08:44.426121,1,0,0,rescheduled,10
18726,182,ILP2501108,1648,ADSN003,498,50,32,2026-08-14 15:08:44.426121,2026-08-14 17:00:00,1,0,1,rescheduled,10
18727,182,ILP2501108,1648,ADSN003,498,50,32,2026-08-17 08:30:00,2026-08-17 08:58:44.426121,1,0,0,rescheduled,10
18728,180,PO111333444,1630,0011-3,482,10,18,2026-08-11 11:38:19.858770,2026-08-11 12:07:19.858770,5,0,0,rescheduled,10
18729,180,PO111333444,1630,0011-3,483,20,25,2026-08-11 12:07:19.858770,2026-08-11 17:17:19.858770,5,0,0,rescheduled,10
18730,180,PO111333444,1630,0011-3,484,30,33,2026-08-12 08:30:00,2026-08-12 08:54:00,5,0,0,rescheduled,10
18731,189,17218ILP004,1668,TP-32,532,10,35,2026-08-14 10:23:44.426121,2026-08-14 13:23:44.426121,2,1,0,rescheduled,10
18732,189,17218ILP004,1668,TP-32,533,20,31,2026-08-14 13:23:44.426121,2026-08-14 14:33:44.426121,2,0,0,rescheduled,10
18733,189,17218ILP004,1668,TP-32,534,30,26,2026-08-14 14:33:44.426121,2026-08-14 16:53:44.426121,2,0,0,rescheduled,10
